Paper_Citation,Location,Latitude,Longitude,Production_Pathway,Power_Source,Electrolyzer_Capacity_MW,Capacity_Factor_Percent,Water_Liters_per_kg,LCA_GWP_kg_CO2_eq_per_kg_H2,Hydrogen_Output_kg_day,Hydrogen_Output_log
"NITI Aayog, 2022",India,22.3511148,78.6677428,Green hydrogen,Renewables,94977.169,50.0,12.0,3.1,21917808.21917808,16.902810070668753
"NITI Aayog, 2022",India,22.3511148,78.6677428,Grey hydrogen,Natural gas or methane,39573.82,90.0,12.0,13.5,16438356.164383562,16.615128013425306
"NITI Aayog, 2022",Mathura refinery,27.379719,77.6846522,Green hydrogen,Wind power,5.702,38.0,12.0,1.124,1000.0,6.90875477931522
"NITI Aayog, 2022",India,22.3511148,78.6677428,Blue hydrogen,Natural gas or coal gasification,2.407,90.0,12.0,13.5,1000.0,6.90875477931522
"NITI Aayog, 2022",India,22.3511148,78.6677428,Black / Brown hydrogen,Coal or lignite,4.333,50.0,12.0,3.1,1000.0,6.90875477931522
"NITI Aayog, 2022",India,22.3511148,78.6677428,Bio-hydrogen,Biomass,4.333,50.0,12.0,3.1,1000.0,6.90875477931522
"Rajakumaran et al., 2024","Hisar, Haryana, India",29.2396596,75.8174505,Alkaline bipolar electrolyser,dedicated solar energy,3.447,22.0,15.5,2.996,350.0,5.860786223465865
"Rajakumaran et al., 2024","Hisar, Haryana, India",29.2396596,75.8174505,Alkaline bipolar electrolyser,dedicated solar energy,0.886,22.0,15.5,2.996,90.0,4.51085950651685
"Rajakumaran et al., 2024","Soniyana, Rajasthan, India",25.0812846,73.9570641,Green hydrogen,solar power plant,0.936,22.0,12.0,2.996,95.0,4.564348191467836
"Rajakumaran et al., 2024","Aurangabad, Maharashtra, India",19.877263,75.3390241,Green Hydrogen,wind and solar energy,0.963,45.0,12.0,2.06,200.0,5.303304908059076
"Rajakumaran et al., 2024","Greater Noida, India",28.4670734,77.5137649,PEM electrolyser,solar PV panels,0.068,22.0,15.5,3.14,6.5,2.0149030205422647
"Rajakumaran et al., 2024","Greater Noida, India",28.4670734,77.5137649,high-temperature solid oxide electrolyser cell (HT-SOEC),solar PV panels,9.848,22.0,12.0,2.996,1000.0,6.90875477931522
"Rajakumaran et al., 2024",India,22.3511148,78.6677428,Steam methane reforming (SMR),natural gas,2.407,90.0,4.5,10.0,1000.0,6.90875477931522
"Rajakumaran et al., 2024",India,22.3511148,78.6677428,Captive thermal power–driven electrolytic production,captive thermal power,4.333,50.0,12.0,65.0,1000.0,6.90875477931522
"Rajakumaran et al., 2024",India,22.3511148,78.6677428,Electrolytic hydrogen derived from coal-powered electricity,coal-powered electricity,4.333,50.0,12.0,46.5,1000.0,6.90875477931522
"Pal et al., 2025",India,22.3511148,78.6677428,Green hydrogen,RE,0.059,50.0,12.0,3.1,13.6986301369863,2.687754301482307
"Pal et al., 2025",India,22.3511148,78.6677428,Grey hydrogen,Natural gas,0.02,90.0,12.0,13.5,8.219178082191782,2.221285888496337
"Maqbool et al., NULL",India,22.3511148,78.6677428,Proton Exchange Membrane (PEM),stand alone solar photovoltaics,10.417,22.0,15.5,4.67,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Proton Exchange Membrane (PEM),stand alone wind power,6.031,38.0,15.5,1.13,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Proton Exchange Membrane (PEM),grid electricity,3.056,75.0,15.5,74.85,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Proton Exchange Membrane (PEM),Solar Powered Battery Energy Storage System (BESS) (Li-Ion),10.417,22.0,15.5,3.14,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Proton Exchange Membrane (PEM),Solar Powered Battery Energy Storage System (BESS) (Lead Acid),10.417,22.0,15.5,3.14,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Solid Oxide Electrolysis (SOE),stand alone solar photovoltaics,9.848,22.0,15.5,5.46,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Solid Oxide Electrolysis (SOE),stand alone wind power,5.702,38.0,15.5,2.8,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Solid Oxide Electrolysis (SOE),grid-mix electricity,2.889,75.0,15.5,57.28,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Solid Oxide Electrolysis (SOE),Solar Powered Battery Energy Storage System (BESS) (Li-Ion),9.848,22.0,15.5,2.996,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Solid Oxide Electrolysis (SOE),Solar Powered Battery Energy Storage System (BESS) (Lead Acid),9.848,22.0,15.5,2.996,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Alkaline Water Electrolysis (AWE),grid electricity,2.889,75.0,15.5,37.42,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Alkaline Water Electrolysis (AWE),Solar Powered Battery Energy Storage System (BESS) (Li-Ion),9.848,22.0,15.5,2.996,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Alkaline Water Electrolysis (AWE),Solar Powered Battery Energy Storage System (BESS) (Lead Acid),9.848,22.0,15.5,2.996,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Alkaline Water Electrolysis (AWE),stand alone solar photovoltaics,9.848,22.0,15.5,2.996,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Alkaline Water Electrolysis (AWE),stand alone wind power,5.702,38.0,15.5,1.124,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Alkaline Anion Exchange Membrane (AEM),grid electricity,2.889,75.0,15.5,37.42,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Alkaline Anion Exchange Membrane (AEM),Solar Powered Battery Energy Storage System (BESS) (Li-Ion),9.848,22.0,15.5,2.996,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Alkaline Anion Exchange Membrane (AEM),Solar Powered Battery Energy Storage System (BESS) (Lead Acid),9.848,22.0,15.5,2.996,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Alkaline Anion Exchange Membrane (AEM),stand alone solar photovoltaics,9.848,22.0,15.5,2.996,1000.0,6.90875477931522
"Maqbool et al., NULL",India,22.3511148,78.6677428,Alkaline Anion Exchange Membrane (AEM),stand alone wind power,5.702,38.0,15.5,1.124,1000.0,6.90875477931522
"Parmar & Sarma, 2024",India,22.3511148,78.6677428,Green hydrogen,Renewable energy,59360.731,50.0,12.0,3.1,13698630.136986302,16.432806468798017
"Mallya et al., 2024",India,22.3511148,78.6677428,Green Hydrogen,Wind,0.391,38.0,12.0,1.124,68.4931506849315,4.241228196418299
"Gupta et al., 2023",India,22.3511148,78.6677428,Green hydrogen (electrolysis),renewable energy,59360.731,50.0,15.5,3.1,13698630.136986302,16.432806468798017
"Singh et al., 2024",India,22.3511148,78.6677428,National Green Hydrogen Mission (NGHM),"Renewables (Solar, Wind, Hydro, Biomass)",65956.367,45.0,12.0,2.0,13698630.136986302,16.432806468798017
"Singh et al., 2024",Gopalpur (Odisha),25.3094638,87.2078731,Green Hydrogen and Ammonia project (ACME),Renewables,14246.575,50.0,12.0,3.1,3287671.2328767125,15.005690344324496
"Singh et al., 2024","Jhakri, Himachal Pradesh",31.4872771,77.6957554,Multi-purpose green hydrogen pilot project (SJVN),Hydro Power,4.333,50.0,12.0,3.1,1000.0,6.90875477931522
"Singh et al., 2024","Greater Noida, Uttar Pradesh",28.4670734,77.5137649,Integrated Hydrogen Refuelling Station (NTPC),1.6 MW electrolyser,1.127,50.0,12.0,3.1,260.0,5.564520407322694
"Singh et al., 2024","Jorhat, Assam",26.7577925,94.2079645,Pure Green Hydrogen Pilot Plant (OIL),solar power,0.098,22.0,12.0,2.996,10.0,2.3978952727983707
"Singh et al., 2024",Himachal Pradesh,31.9292352,77.1828462,Green Hydrogen project (OIL),1 MW electrolyser,1.768,50.0,12.0,3.1,408.0,6.013715156042802
"Singh et al., 2024","Hazira, Gujarat",21.0956055,72.6466021,Green Hydrogen plant (L&T),Alkaline electrolyser,0.867,50.0,12.0,3.1,200.0,5.303304908059076
"Singh et al., 2024","Gorakhpur, Uttar Pradesh",26.6677977,83.3642334,Green Hydrogen city gas distribution blending (Torrent Power),Alkaline electrolyser,4.333,50.0,12.0,3.1,1000.0,6.90875477931522
"Singh et al., 2024",India,22.3511148,78.6677428,SIGHT Green Hydrogen Production Bucket-2 (Bharat Petroleum Corporation Limited),Biomass Based Pathways,23.744,50.0,12.0,3.1,5479.45205479452,8.60894286829063
"Singh et al., 2024",Maharashtra,19.5670323,76.4164557,Maharashtra Harit Hydrogen Policy Target,Renewable Energy,5936.073,50.0,12.0,3.1,1369863.01369863,14.130222032803708
"Singh et al., 2024",Andhra Pradesh,15.9240905,80.1863809,Andhra Pradesh Green Hydrogen and Green Ammonia Policy Target,Renewables,5936.073,50.0,12.0,3.1,1369863.01369863,14.130222032803708
"Singh et al., 2024",Kochi and Bina,9.9679032,76.2444378,CBG plants (BPCL),biomass pathways,8.667,50.0,12.0,3.1,2000.0,7.601402334583733
"Jain & Srivastava, 2024",India,22.3511148,78.6677428,National Green Hydrogen Mission (Standard),Renewable Energy,59360.731,50.0,12.0,2.0,13698630.136986302,16.432806468798017
"Jain & Srivastava, 2024","Kochi, Kerala, India",9.9679032,76.2444378,Green Hydrogen Valley (Intrinsic potential),Renewables,1424.658,50.0,12.0,3.1,328767.12328767125,12.70310798882587
"Jain & Srivastava, 2024","Kochi, Kerala, India",9.9679032,76.2444378,Green Hydrogen Valley (Projected potential 2040),Renewables,1923.288,50.0,12.0,3.1,443835.61643835617,13.003211792698048
"Jain & Srivastava, 2024","Kochi, Kerala, India",9.9679032,76.2444378,Green Hydrogen Valley Base Case (Phase II),Renewables,60.548,50.0,12.0,3.1,13972.602739726028,9.544925310178602
"Jain & Srivastava, 2024","Kochi, Kerala, India",9.9679032,76.2444378,Green Hydrogen Valley Base Case (Phase III),India RE (Gujarat),1092.237,50.0,12.0,3.1,252054.794520548,12.437405748814257
"Jain & Srivastava, 2024","Kochi, Kerala, India",9.9679032,76.2444378,Green Hydrogen Valley Aggressive Case (Phase II),Renewables,427.397,50.0,12.0,3.1,98630.13698630135,11.499142281675384
"Jain & Srivastava, 2024","Kochi, Kerala, India",9.9679032,76.2444378,Green Hydrogen Valley Aggressive Case (Phase III),India RE (Gujarat),2315.068,50.0,12.0,3.1,534246.5753424658,13.188614634738649
"Jain & Srivastava, 2024","Kerala, India",10.3528744,76.5120396,Solar Potential (Ground-mounted),Solar,3210.876,22.0,12.0,2.996,326027.397260274,12.694739764715498
"Jain & Srivastava, 2024","Kerala, India",10.3528744,76.5120396,Wind Potential,Wind,1640.231,38.0,12.0,1.124,287671.23287671234,12.56957703072374
